JOHNSON	JAMES	L	4103332222	316	1	31	1975
ANDREWS	PETER	J	3018884444	217	2	21	1980
LUCKY	LUCY	L	4107777777	112	5	15	1980
DOMAN	CRAIG	H	1432578902	217	2	14	1980
NAKAMU	TOKY	O	3018111112	345	4	5	1982
MEDES	GLORIA	A	2014545454	310	4	21	1973
MARX	KARL	Z	4103433333	318	8	16	1939
NEWMANN	ALFRED	X	3014657688	323	9	30	1995
KRONECK	LEO	C	2122992828	456	10	31	1966
VIRUS	VERA	T	9122229292	311	4	17	1980
CUSTER	FELICIA	C	3019878765	111	7	14	1974
REMBRAN	ANTHONY	F	4102222222	222	11	2	1965
PORGY	BESS	M	4105435667	226	12	1	1962
AUGUSTA	ADA	T	7048381234	674	6	14	1977
CAESAR	JULIE	S	4537773635	567	3	8	1980
MCDONAL	RONALD	B	3018556789	313	2	11	1972
WEERD	DEWEY	X	2127654738	324	11	19	1980
KIM	YANGON	X	7189863578	234	12	11	1976
PARKER	ROSE	E	2019876868	122	10	11	1989
PASCAL	BLAISE	R	9084328876	432	12	1	1987
SADA	DSADSA	S	535353535	535	35	53	5353
